"ID";"Plan";"Cod";"Nombre Corto";"Eje";"Área";"Medida";"Objetivo";"Descripción";"Tipo de Medida";"Area de aplicación";"Año inicio";"Plazo ejecución";"Responsable";"Colaboradores internos";"Colaboradores externos";"Vinculación normativa";"Adecuaciones Normativas";"Tecnología, infraestructura y recursos necesarios";"Potenciales barreras y obstáculos";"Potenciales fuentes de financiamiento";"Consideraciones de Genero";"Acciones";"Indicador";"Meta";"status"
"1";"Alhue";"M-01";;"Mitigación";"Energía";"Monitoreo integral de la EEL para la acreditación y escalamiento del ""Sello Comuna Energética""";"OE1. Promover la transición hacia una matriz energética local, eficiente y baja en emisiones, impulsando la adopción de energías renovables, junto con el monitoreo continuo de la gestión energética a escala comunal.";"Implementación de un sistema integral de seguimiento, evaluación y reporte de los indicadores de la EEL. Busca garantizar el cumplimiento de las metas trazadas, visibilizar los ahorros en el consumo energético municipal y asegurar la mejora continua en la gestión energética institucional y territorial. El Gestor Energético estructurará el monitoreo anual de consumos bajo las 6 categorías del Ministerio de Energía. Este monitoreo actuará como el ""dossier de evidencias"" vinculante para someterse a evaluación ante la ASE, logrando escalar en los niveles del Sello y habilitando fondos de cofinanciamiento para la comuna.";"(SAM) Sistemas de Alerta y Monitoreo multipropósito / (PP) Políticas, planificación y gobernanza";"Comunal";"2026";"2030";"Secretaría Comunal de Planificación (SECPLA) / Oficina de Medio Ambiente/ Gestor Energético Municipal (apoyado por el Comité Energético)";"Dirección de Administración y Finanzas (DAF), Dirección de Obras Municipales (DOM)";"Agencia de Sostenibilidad Energética (ASE), Seremi de Energía RM, Asociación de Municipios Rurales (AMUR).";"Estrategia Energética Local de Alhué, Sello Comuna Energética, Ley Marco de Cambio Climático (MRV de emisiones), Plan Sectorial de Mitigación del Sector Energía, Estrategia Climática de Largo Plazo (ECLP), Certificación SCAM.";"Decreto alcaldicio que formalice las funciones del ""Comité Energético Municipal"" para que asuma también el rol de ""Comité de Certificación"", e incorporación de la obligación de emitir el Reporte Anual de Desempeño Energético.";"Software o plataforma de registro consolidado de consumos municipales, horas- hombre del Gestor Energético para reportabilidad, y apoyo del equipo directivo para garantizar la entrega de información inter-departamental.";"Dificultad para acceder, centralizar y desagregar la información de consumos desde Finanzas; y el riesgo de alta rotación de personal que afecte la continuidad del Comité Energético y el seguimiento de las metas.";"Presupuesto Municipal (operación interna HH) para la fase de monitoreo, y, posteriormente, fondos de los concursos ""Comunidad Energética"" e ""Inversión Energética Local"" de la AgenciaSE como resultado de la obtención del sello.";"El sistema de monitoreo integrará parámetros que aseguren que los fondos apalancados a través del Sello prioricen la disminución de la ""pobreza energética"" y resiliencia en localidades rurales y hogares monoparentales liderados por mujeres";"A1. Reactivación y formalización del Comité Energético como ente certificador. A2. Consolidación de la matriz de monitoreo (MRV) adaptando los indicadores locales a las 6 categorías del Sello. A3. Elaboración y presentación del ""Reporte Anual de Desempeño Energético"" (el dossier de evidencias). A4. Ingreso de antecedentes a la AgenciaSE para la acreditación/escalamiento del Sello y postulación a los fondos.";"Monitoreos ejecutados y Nivel de Sello Comuna Energética obtenido.";"Sistematizar el 100% de la información de consumo al 2026, lograr obtener el ""Sello Comuna Energética"" (Nivel Intermedio) en base a dichas evidencias al 2028, y escalar al Nivel Avanzado al año 2030, apalancando al menos 1 fondo concursable de infraestructura limpia.";
"2";"Alhue";"M-02";;"Mitigación";"Energía";"Escalamiento de fomento fotovoltaico para riego en la Agricultura Familiar Campesina";"OE1. Promover la transición hacia una matriz energética local, eficiente y baja en emisiones, impulsando la adopción de energías renovables, junto con el monitoreo continuo de la gestión energética a escala comunal.";"Programa de asistencia técnica para masificar la instalación de sistemas solares fotovoltaicos en bombas de riego agrícola, impulsando sistemas Agri-PV que propicie el doble uso de la tierra. Al potenciar los recursos que ya entrega INDAP, se reemplaza el uso de generadores a diésel, reduciendo emisiones y costos operativos para la pequeña agricultura al 2030.";"(IT) Innovación y Transferencia Tecnológica / (F) Financiamiento e instrumentos económicos";"Rural";"2026";"2030";"Dirección de Desarrollo Comunitario (DIDECO - Programa PRODESAL)";"SECPLA, Oficina de Medio Ambiente.";"INDAP, Comisión Nacional de Riego (CNR), Ministerio de Agricultura.";"Plan Sectorial de Adaptación Silvoagropecuario, Estrategia Hídrica Local (EHL) Alhué, Plan de Gestión Paisaje de Conservación.";"Focalización de las directrices de la Oficina de Desarrollo Económico Local (ODEL) hacia la postulación de proyectos con criterios de energías limpias.";"Paneles fotovoltaicos (off-grid y on-grid), inversores, bombas de agua solares, estructura de soporte, profesionales técnicos formuladores de proyectos.";"Alto costo de inversión inicial, agricultores sin derechos de agua regularizados (requisito para fondos CNR), riesgo de robo de paneles en zonas aisladas.";"Fondos INDAP, Ley de Riego N° 18.450 (CNR), FNDR del GORE RM, Fondo de Protección Ambiental (FPA).";"Bonificación o priorización en la asistencia técnica a mujeres agricultoras jefas de hogar y usuarios en pobreza energética.";"A1. Identificar déficit tecnológico en usuarios PRODESAL. A2. Formulación técnica y postulación de carpetas a INDAP/CNR. A3. Ejecución, marcha blanca y capacitación de uso.";"Sistemas de riego agrícola operando con energía solar fotovoltaica.";"Instalar y asegurar la operatividad de al menos 20 nuevos sistemas solares fotovoltaicos en la Agricultura Familiar Campesina local al año 2030.";
"3";"Alhue";"M-03";;"Mitigación";"Energía";"Piloto comunitario para Cooperativa de Energía Ciudadana";"OE1. Promover la transición hacia una matriz energética local, eficiente y baja en emisiones, impulsando la adopción de energías renovables, junto con el monitoreo continuo de la gestión energética a escala comunal.";"Conformación legal de la primera ""Cooperativa de Energía"" comunal, impulsando un proyecto piloto fotovoltaico en sedes comunitarias (ej. sector El Membrillo). Se busca sortear la falta de terrenos privados, inyectando energía a la red o al autoconsumo vecinal.";"(PP) Políticas, planificación y gobernanza / (IT) Innovación y Transferencia Tecnológica";"Periurbano / Rural";"2027";"2030";"Asesoría Jurídica Municipal / SECPLA";"Oficina de Organizaciones Comunitarias (DIDECO), Medio Ambiente";"Agencia de Sostenibilidad Energética (ASE), Seremi de Energía RM, Superintendencia de Electricidad y Combustibles (SEC), CGE.";"Estrategia Energética Local de Alhué, Ley 21.118 (Generación Distribuida para Autoconsumo), Política Energética Nacional 2050, Programa Parque Solar Comunitario.";"Permisos municipales o entrega en comodato de techumbres de infraestructura pública (sedes sociales, multicanchas) para el emplazamiento del proyecto.";"Profesionales jurídicos (abogados), paneles fotovoltaicos, inversores y medidores bidireccionales, instalación certificada (TE-1/TE-6). | 9 4";"Nula disponibilidad de grandes terrenos para granjas solares, procesos legales extensos para constituir la cooperativa, baja capacidad de las redes de transmisión locales.";"Concurso Comunidad Energética y Concurso Inversión Energética Local (Agencia SE), FNDR (Subvenciones GORE).";"Reducir la pobreza energética en comunidades rurales asiladas o vulnerables mediante el abaratamiento del costo de la energía.";"A1. Realizar asambleas de capacitación y conformación de estatutos legales. A2. Ceder techo comunitario y diseñar el piloto técnico (ej. El Membrillo). A3. Postular a fondos ASE y ejecutar instalación.";"Conformación de cooperativa energética y capacidad instalada comunitaria (kWp).";"1 Cooperativa de Energía Ciudadana conformada legalmente y 1 planta fotovoltaica piloto comunitaria operando e inyectando energía limpia al año 2030.";
"4";"Alhue";"M-04";;"Mitigación";"Residuos";"Red de recolección selectiva y disminución de plásticos comerciales";"OE2. Implementar un modelo de gestión integral y circular de los residuos sólidos a escala territorial, que minimice la disposición final en rellenos sanitarios y reduzca drásticamente las emisiones de metano.";"Implementación de rutas de reciclaje comunitario y fortalecimiento de normativas que prohíban plásticos de un solo uso en comercio local. Al disminuir drásticamente los volúmenes de desecho, se optimizan las rutas del camión recolector, ahorrando consumo de diésel.";"(BP) Buenas prácticas y gestión / (PP) Políticas, planificación y gobernanza.";"Urbano / Rural (Centros poblados y comercio local).";"2026";"2030";"Oficina de Medio Ambiente / Dirección de Obras (Inspección)";"Oficina de Desarrollo Económico Local (ODEL), Rentas y Patentes";"Sistemas de Gestión Ley REP, Cámara de Comercio de Alhué, recicladores de base, emprendedores locales de reciclaje";"Ley Marco para la Gestión de Residuos (Ley REP 20.920), Ley de Plásticos de un Solo Uso (21.368), Estrategia Ambiental Comunal";"Formulación de una Ordenanza Municipal que prohíba plásticos de un solo uso en comercios locales y ferias, con sistema de multas.";"Puntos limpios fijos y móviles, contenedores diferenciados, inspectores capacitados para fiscalización de ordenanzas y camiones recolectores adaptados. | 9 6";"Lejanía de centros de acopio regionales encarece el transporte logístico del material reciclado; escasa dotación de fiscalizadores municipales.";"Fondo para el Reciclaje (FPR del MMA), Presupuesto Municipal, FNDR 8% | Consideración de enfoque de género y/o Formalización, integración y apoyo en equipamiento a grupos de recicladores de base o emprendedores locales (a menudo mujeres) para ser operadores de la red selectiva.";;"A1. Promulgación de Ordenanza restrictiva de plásticos y difusión en el comercio. A2. Habilitación de puntos limpios y rutas de recolección selectiva. A3. Campaña ciudadana sobre economía circular. A4. Proceso de fiscalización y multas.";"Reducción de entrega de plásticos en comercios y porcentaje de reciclaje.";"Aumentar significativamente el tonelaje de reciclaje inorgánico comunal y lograr la reducción de la entrega de plásticos de un solo uso en comercios al año 2030.";
"5";"Alhue";"M-05";;"Mitigación";"Residuos";"Elaboración y sistema de monitoreo (MRV) del Plan de Gestión Integral de Residuos Sólidos Domiciliarios";"OE2. Implementar un modelo de gestión integral y circular de los residuos sólidos a escala territorial, que minimice la disposición final en rellenos sanitarios y reduzca drásticamente las emisiones de metano.";"Formulación de un plan estratégico comunal para diagnosticar la generación y establecer metas de reducción y valorización. Incorpora un mecanismo MRV anual para cuantificar las toneladas desviadas del relleno sanitario, apoyando la reducción de GEI y fomentando la economía circular al año 2030.";"(PP) Políticas, planificación y gobernanza / (SAM) Sistemas de Alerta y Monitoreo multipropósito";"Comunal";"2027";"2030";"Oficina de Medio Ambiente / Aseo y Ornato";"Secretaría Comunal de Planificación (SECPLA)";"SEREMI de Medio Ambiente RM, SUBDERE, GORE RM, Programa HuellaChile";"Estrategia Nacional de Residuos Orgánicos (ENRO), Ley REP (20.920), Plan Sectorial de Mitigación de Salud";"Actualización de la Ordenanza sobre Derechos Municipales (Título V asociado a residuos) o creación de una Ordenanza de Gestión Integral de Residuos.";"Consultoría experta, software o plataforma de registro de emisiones (ej. HuellaChile), encuestadores, balanzas o registros de pesaje";"Falta de datos históricos precisos, resistencia inicial de la comunidad al cambio de hábitos de segregación, escaso presupuesto municipal operativo.";"SUBDERE (Programa Nacional de Residuos Sólidos), FNDR del GORE RM, Presupuesto Municipal.";"Fomentar la participación activa de lideresas vecinales y recicladoras de base en los talleres de diagnóstico y validación comunitaria del Plan.";"A1. Elaborar el diagnóstico de residuos. A2. Formulación y aprobación municipal del PGIRSD. A3. Diseño e implementación de plataforma MRV de tonelajes. A4. Reporte anual a HuellaChile.";"Porcentaje de implementación del Plan de Gestión de Residuos y sistema MRV.";"1 Plan de Gestión Integral de Residuos operando y 1 mecanismo MRV institucionalizado reportando la reducción de GEI comunal anualmente al 2030.";
"6";"Alhue";"M-06";;"Mitigación";"Residuos";"Planta de compostaje comunal y red de chipeadoras vecinales";"OE2. Implementar un modelo de gestión integral y circular de los residuos sólidos a escala territorial, que minimice la disposición final en rellenos sanitarios y reduzca drásticamente las emisiones de metano.";"Construcción de infraestructura local para procesar orgánicos y podas agrícolas in situ. Esto previene quemas ilegales, erradica el carbono negro y evita drásticamente emisiones de metano en rellenos y el CO2 derivado del transporte de carga a otras comunas.";"(IO) Infraestructura y Obras Físicas / (IT) Innovación y Transferencia Tecnológica";"Comunal";"2027";"2030";"SECPLA / Oficina de Medio Ambiente";"Aseo y Ornato, DIDECO (PRODESAL)";"Ministerio del Medio Ambiente, INDAP, Juntas de Vecinos, Sector privado local (mineras, viñas)";"Estrategia Nacional de Residuos Orgánicos (metas a 2040), Plan Sectorial de Mitigación de Salud (Medida 1: Valorización de Residuos Orgánicos)";"Promulgación de multas severas en Ordenanza Municipal contra quienes ejecuten quemas clandestinas o botaderos ilegales.";"Terreno acondicionado, chipeadoras de alta capacidad, volteadoras para compost, control de lixiviados, palas mecánicas, personal técnico operador. | 1 0 0";"Alto costo de inversión de capital inicial, riesgo de malos olores u oposición vecinal por mala operación técnica de la planta, y la mantención de los equipos.";"Fondo de Protección Ambiental (FPA) especial, Programa de Mejoramiento de Barrios (PMB - SUBDERE), FNDR.";"Distribuir el compost final gratuitamente a pequeños agricultores vulnerables de la comuna y mujeres jefas de hogar con huertos, fortaleciendo su seguridad alimentaria.";"A1. Formulación de prefactibilidad y búsqueda de terreno. A2. Postulación a fondos públicos (PMB/FNDR). A3. Adquisición de chipeadoras y construcción de canchas de compostaje. A4. Educación comunitaria y marcha blanca.";"Toneladas de residuos orgánicos y podas valorizadas en origen.";"1 planta de compostaje comunal operativa y una red de chipeadoras evitando las quemas ilegales y valorizando orgánicos in situ al 2030.";
"7";"Alhue";"M-07";;"Mitigación";"Transporte y movilidad";"Plan de desarrollo de infraestructura ciclo-inclusiva y rutas seguras con arborización nativa";"OE3. Fomentar el cambio tecnológico hacia la electromovilidad y el traspaso modal hacia formas de movilidad activa bajas en emisiones a nivel comunal e intercomunal.";"Construcción de una red de ciclovías y sendas peatonales que incorpora desde su diseño la plantación estratégica de árboles nativos. Esta obra integral fomenta la movilidad activa y segura (libre de emisiones), reduciendo la exposición de los vecinos a accidentes viales y a las altas temperaturas estivales gracias a la provisión de sombra, potenciando a la vez los corredores biológicos locales. Conexiones estratégicas: a) Hacienda Alhué-San Alfonso, b) Ignacio Carrera Pinto-Barrancas de Pichi, c) El Asiento-Talami, d) Estero Carén-Loncha.";"(IO) Infraestructura y Obras Físicas / (PP) Políticas y planificación / (SbN) Soluciones Basadas en la Naturaleza";"Comunal / Rural (Conectividad entre localidades de Alhué)";"2027 (Inicia con estudios de diseño e ingeniería que integren la variable paisajística)";"2030 (Construcción por etapas)";"Secretaría Comunal de Planificación (SECPLA) / Dirección de Obras Municipales (DOM)";"Oficina de Medio Ambiente, Oficina de Inspección y Fiscalización";"Ministerio de Obras Públicas (MOP - Dirección de Vialidad), Ministerio de Transportes y Telecomunicaciones (SECTRA), GORE RM, MINVU";"Plan Sectorial de Mitigación y Adaptación (PSMA) Transportes, Estrategia Nacional de Movilidad Sostenible";"Incorporación de esta red en la actualización del Plan Regulador Comunal (PRC) y en el Plan de Inversiones en Infraestructura de Movilidad y Espacio Público (PIIMEP) de Alhué.";"Maquinaria para obras civiles (estabilización/pavimentación), plantas nativas provenientes del vivero municipal, sistemas de riego eficiente o de emergencia para los primeros años, señalética vial reflectante y luminarias solares peatonales.";"Restricciones normativas o demoras en la autorización del MOP (Vialidad) para intervenir fajas fiscales aledañas a rutas principales; estrés hídrico extremo que dificulte la sobrevivencia de los árboles plantados durante los primeros 3 años.";"FNDR del GORE RM, Programa de Mejoramiento Urbano (PMU - SUBDERE tipología Vialidad), y fondos del Ministerio de Transportes.";"Las rutas seguras, arborizadas y bien iluminadas benefician de manera directa a mujeres, niños, niñas y personas mayores, quienes son los usuarios más frecuentes del modo peatonal en la ruralidad. Reduce su percepción de inseguridad vial frente a camiones y protege su salud de golpes de calor durante traslados obligatorios.";"A1. Desarrollo de los estudios de ingeniería de detalle y paisajismo (integrando el espacio para raíces y riego). A2. Gestión de servidumbres y permisos con Vialidad MOP. A3. Postulación a fuentes de financiamiento (FNDR/PMU). A4. Ejecución de las obras civiles y forestación. A5. Plan de mantención y riego municipal.";"Kilómetros de infraestructura ciclo-inclusiva arborizada construida.";"Diseñar y construir al menos 5 kilómetros de rutas seguras y ciclo-inclusivas que cuenten con arborización nativa integral al año 2030, conectando localidades rurales estratégicas.";
"8";"Alhue";"M-08";;"Mitigación";"Transporte y movilidad";"Impulsar la instalación de red de estaciones de carga pública para vehículos eléctricos";"OE3. Fomentar el cambio tecnológico hacia la electromovilidad y el traspaso modal hacia formas de movilidad activa bajas en emisiones a nivel comunal e intercomunal.";"Fortalecer la colaboración y alianzas público- privadas para la implementación de electroterminales en puntos estratégicos de la comuna. Es el requisito habilitante para el recambio paulatino de las flotas municipales (buses), potenciar el transporte privado limpio e impulsar el turismo de bajas emisiones.";"(IO) Infraestructura y Obras Físicas / (IT) Innovación Tecnológica";"Urbano (Villa Alhué y centros poblados)";"2027";"2030";"SECPLA / Oficina de Medio Ambiente";"Dirección de Obras Municipales (DOM), Oficina de Turismo";"Ministerio de Energía, Agencia de Sostenibilidad Energética (Agencia SE), Empresas privadas (ej. Copec Voltex, CGE)";"Estrategia Nacional de Electromovilidad, Estrategia Energética Local (EEL) de Alhué";"Permisos de concesión o uso de Bienes Nacionales de Uso Público (BNUP) para estacionamientos exclusivos de recarga eléctrica.";"Cargadores eléctricos rápidos y semirrápidos, aumento de capacidad en subestaciones locales, señalética vial.";"Capacidad límite de la red de transmisión eléctrica local en Alhué; alto costo de los equipos para el erario municipal.";"Inversión privada directa, Agencia SE (Programa Ponle Energía), FNDR.";"Asegurar que las estaciones de carga cuenten con diseño de accesibilidad universal e iluminación adecuada para la seguridad nocturna.";"A1. Identificación de sitios fiscales factibles. A2. Firma de convenio público-privado o licitación. A3. Instalación y certificación SEC de los cargadores.";"Estaciones de carga pública operativas";"Habilitar al menos 2 estaciones de carga rápida de acceso público operativas en la comuna al 2030.";
"9";"Alhue";"M-09";;"Mitigación";"Transporte y movilidad";"Transición a electromovilidad en buses municipales e incentivo privado local";"OE3. Fomentar el cambio tecnológico hacia la electromovilidad y el traspaso modal hacia formas de movilidad activa bajas en emisiones a nivel comunal e intercomunal.";"Reemplazo gradual de vehículos municipales actuales (educación/salud/flotilla municipal) por eléctricos, utilizando la red de carga (M-08). Paralelamente, se podrá promover la formalización de convenios o acuerdos (APL u otros afines) para que el sector minero y agrícola electrifique sus flotas operativas.";"(IT) Innovación y Transferencia Tecnológica / (PP) Políticas y gobernanza";"Comunal";"2027";"2030";"Administración Municipal / SECPLA";"Dirección de Administración y Finanzas (Adquisiciones), Medio Ambiente";"Codelco (Div. El Teniente), Minera Florida, Agencia SE, GORE RM";"ECLP (Meta 6.4 de transporte público/flotas limpias), PSMA Transportes";"Inclusión de estándares de ""compras públicas sustentables"" y fomento de vehículos de bajo impacto en bases de licitación municipal.";"Adquisición de buses eléctricos, conexión a las estaciones de carga (M16), capacitación técnica a conductores y mecánicos municipales.";"Alto costo de adquisición de vehículos eléctricos (capex) respecto al diésel; lejanía de servicios técnicos especializados.";"Fondo de Apoyo Regional (FAR) de la Ley N° 20.696, FNDR GORE RM, aportes privados (RSE minería)";"La priorización del reemplazo de los buses escolares y de traslado de pacientes del CESFAM impacta directamente en reducir la exposición a contaminantes locales (material particulado) de niños y adultos mayores.";"A1. Levantar catastro de vida útil de buses actuales. A2. Postular a recambio de flota en GORE/FAR. A3. Firmar mesas de acuerdo con mineras para exigir renovación en sus servicios contratados.";"Porcentaje de buses municipales eléctricos y acuerdos privados.";"Electrificar el 50% de la flota de buses o vehículos de servicio municipal al 2030 y suscribir al menos 2 convenios de reducción de emisiones logísticas con la industria privada local.";
"10";"Alhue";"M-10";;"Mitigación";"Transporte y movilidad";"Optimización y electrificación de la red de transporte público interurbano";"OE3. Fomentar el cambio tecnológico hacia la electromovilidad y el traspaso modal hacia formas de movilidad activa bajas en emisiones a nivel comunal e intercomunal.";"El municipio liderará la demanda vecinal para rediseñar los recorridos interurbanos (garantizando horarios y frecuencias permanentes) y gestionará subsidios del MTT para integrar progresivamente buses eléctricos interurbanos, desincentivando el auto privado.";"(PP) Políticas, planificación y gobernanza";"Intercomunal / Regional";"2028";"2030";"Oficina de Inspección y Fiscalización/ SECPLA";"Dirección de Desarrollo Comunitario (DIDECO)";"MTT (División de Transporte Público Regional - DTPR), GORE RM, Operadores de transporte privado local, Juntas de Vecinos";"PSMA Transportes (Medida: Electromovilidad - Transporte público regiones), Ley de Subsidio al Transporte Público (N° 20.378)";"Desarrollo de un Plan de Movilidad Local validado por participación ciudadana.";"Mesas técnicas de negociación con el Ministerio de Transportes, infraestructura de recarga de gran capacidad, buses de estándar ""Red"" interurbano.";"Alhué no controla la licitación del transporte intercomunal (tuición del MTT); resistencia de operadores de buses actuales a modernizar sus flotas.";"Subsidios del MTT, Fondo de Apoyo Regional (FAR), Subsidios de zonas aisladas";"Establecer tarifas rebajadas y coberturas de recorridos matutinos que se ajusten a las necesidades de las mujeres (quienes suelen realizar más viajes de cuidado) y estudiantes, mejorando el acceso equitativo a servicios fuera de la comuna.";"A1. Diagnóstico participativo de necesidades de traslado con DIDECO. A2. Establecer mesa técnica con DTPR (MTT) para rediseño de perímetro de exclusión o subsidios. A3. Adjudicación e implementación progresiva de flota de alto estándar/eléctrica.";"Reducción de emisiones de GEI por transporte público interurbano.";"Establecer un nuevo contrato de subsidio con el MTT que garantice al menos el 70% de la cobertura de horarios críticos comunitarios e introduzca al menos un 20% de flota interurbana eléctrica o híbrida al 2030.";
